Date,AvgDifficulty_M,DifficultyChangePct,AvgPrice_USD,PriceChangePct
27th May 2025,59.195,,51.8408,
28th May 2025,77.523,31.0,51.8488,0.02
29th May 2025,72.36,-6.66,54.0493,4.24
30th May 2025,72.626,0.37,51.3429,-5.01
31st May 2025,71.909,-0.99,47.5544,-7.38
1st Jun 2025,72.927,1.42,50.7911,6.81
2nd Jun 2025,72.771,-0.21,52.9788,4.31
3rd Jun 2025,68.916,-5.3,54.0226,1.97
4th Jun 2025,69.674,1.1,52.3021,-3.18
5th Jun 2025,65.574,-5.89,49.7724,-4.84
6th Jun 2025,66.013,0.67,48.311,-2.94
7th Jun 2025,68.194,3.3,48.7899,0.99
8th Jun 2025,65.613,-3.78,49.9094,2.29
9th Jun 2025,66.264,0.99,49.6571,-0.51
10th Jun 2025,66.022,-0.37,51.4621,3.64
11th Jun 2025,67.021,1.51,50.6776,-1.52
12th Jun 2025,62.603,-6.59,49.1175,-3.08
13th Jun 2025,63.646,1.67,45.6187,-7.12
14th Jun 2025,63.361,-0.45,44.3913,-2.69
15th Jun 2025,66.979,5.71,44.015,-0.85
16th Jun 2025,61.532,-8.13,44.4741,1.04
17th Jun 2025,63.168,2.66,42.0447,-5.46
18th Jun 2025,62.943,-0.36,41.7671,-0.66
19th Jun 2025,63.817,1.39,41.6471,-0.29
20th Jun 2025,65.161,2.11,41.1409,-1.22
21st Jun 2025,63.023,-3.28,40.2839,-2.08
22nd Jun 2025,64.519,2.37,38.3213,-4.87
23rd Jun 2025,64.372,-0.23,38.9481,1.64
24th Jun 2025,63.835,-0.83,42.1206,8.15
25th Jun 2025,59.448,-6.87,42.1148,-0.01
26th Jun 2025,61.752,3.87,40.282,-4.35
27th Jun 2025,63.895,3.47,39.1458,-2.82
28th Jun 2025,64.192,0.47,38.1511,-2.54
29th Jun 2025,63.685,-0.79,39.462,3.44
30th Jun 2025,62.921,-1.2,39.5807,0.3
1st Jul 2025,61.701,-1.94,37.1633,-6.11
2nd Jul 2025,60.992,-1.15,37.7619,1.61
3rd Jul 2025,62.57,2.59,39.3573,4.22
4th Jul 2025,65.094,4.03,40.4906,2.88
5th Jul 2025,59.124,-9.17,39.5388,-2.35
6th Jul 2025,61.944,4.77,38.7436,-2.01
7th Jul 2025,63.445,2.42,38.757,0.03
8th Jul 2025,58.956,-7.08,40.0784,3.41
9th Jul 2025,64.131,8.78,40.4087,0.82
10th Jul 2025,60.065,-6.34,40.9203,1.27
11th Jul 2025,62.606,4.23,42.7209,4.4
12th Jul 2025,59.738,-4.58,42.0531,-1.56
13th Jul 2025,60.597,1.44,42.6192,1.35
14th Jul 2025,59.366,-2.03,43.5226,2.12
15th Jul 2025,60.204,1.41,42.5227,-2.3
16th Jul 2025,61.688,2.46,44.0082,3.49
17th Jul 2025,64.114,3.93,44.4196,0.93
18th Jul 2025,59.795,-6.74,45.699,2.88
19th Jul 2025,64.308,7.55,43.9241,-3.88
20th Jul 2025,65.541,1.92,44.7219,1.82
21st Jul 2025,64.957,-0.89,45.0789,0.8
22nd Jul 2025,63.915,-1.6,43.3109,-3.92
23rd Jul 2025,65.047,1.77,42.6824,-1.45
24th Jul 2025,68.005,4.55,40.8804,-4.22
25th Jul 2025,69.585,2.32,40.0034,-2.15
26th Jul 2025,70.327,1.07,41.0286,2.56
27th Jul 2025,69.932,-0.56,41.5201,1.2
28th Jul 2025,67.228,-3.87,41.9854,1.12
29th Jul 2025,63.362,-5.75,40.5293,-3.47
30th Jul 2025,64.42,1.67,39.1463,-3.41
31st Jul 2025,61.167,-5.05,38.3989,-1.91
1st Aug 2025,67.363,10.1,36.3368,-5.37
2nd Aug 2025,70.443,4.57,35.5591,-2.14
3rd Aug 2025,64.241,-8.8,35.9781,1.18
4th Aug 2025,67.612,5.25,36.6224,1.79
5th Aug 2025,69.599,2.94,36.0778,-1.49
6th Aug 2025,71.931,3.35,35.6867,-1.08
7th Aug 2025,68.274,-5.08,36.8787,3.34
8th Aug 2025,68.831,0.81,38.3838,4.08
9th Aug 2025,65.207,-5.26,39.4273,2.72
10th Aug 2025,65.399,0.3,39.2323,-0.49
11th Aug 2025,65.328,-0.11,38.6532,-1.48
12th Aug 2025,67.708,3.64,37.964,-1.78
13th Aug 2025,65.685,-2.99,39.2758,3.46
14th Aug 2025,63.6,-3.17,38.4912,-2.0
15th Aug 2025,63.674,0.12,37.1957,-3.37
16th Aug 2025,64.382,1.11,36.5727,-1.67
17th Aug 2025,67.708,5.17,37.2261,1.79
18th Aug 2025,64.839,-4.24,36.0719,-3.1
19th Aug 2025,65.786,1.46,35.4332,-1.77
20th Aug 2025,67.424,2.49,37.5314,5.92
21st Aug 2025,63.503,-5.82,39.2856,4.67
22nd Aug 2025,65.707,3.47,42.9251,9.26
23rd Aug 2025,64.939,-1.17,43.3778,1.05
24th Aug 2025,65.602,1.02,43.066,-0.72
25th Aug 2025,66.721,1.71,41.231,-4.26
26th Aug 2025,65.448,-1.91,40.5699,-1.6
27th Aug 2025,69.92,6.83,42.5747,4.94
28th Aug 2025,67.853,-2.96,42.197,-0.89
29th Aug 2025,66.753,-1.62,41.9428,-0.6
30th Aug 2025,71.162,6.6,40.0123,-4.6
31st Aug 2025,67.296,-5.43,40.3081,0.74
1st Sep 2025,68.601,1.94,39.8266,-1.19
2nd Sep 2025,68.308,-0.43,41.079,3.14
3rd Sep 2025,67.975,-0.49,41.9621,2.15
4th Sep 2025,65.898,-3.06,40.6828,-3.05
5th Sep 2025,70.332,6.73,41.2245,1.33
6th Sep 2025,71.23,1.28,42.5838,3.3
7th Sep 2025,69.604,-2.28,47.4431,11.4
8th Sep 2025,68.552,-1.51,49.5881,4.52
9th Sep 2025,70.766,3.23,49.5977,0.02
10th Sep 2025,70.819,0.07,48.2498,-2.72
11th Sep 2025,69.798,-1.44,47.6475,-1.25
12th Sep 2025,71.772,2.83,48.3319,1.44
13th Sep 2025,73.271,2.09,49.9057,3.26
14th Sep 2025,73.098,-0.24,53.3061,6.81
15th Sep 2025,73.335,0.32,50.6086,-5.06
16th Sep 2025,66.669,-9.09,51.3403,1.45
17th Sep 2025,70.327,5.49,51.3189,-0.04
18th Sep 2025,73.833,4.99,50.658,-1.29
19th Sep 2025,68.771,-6.86,49.3547,-2.57
20th Sep 2025,71.57,4.07,50.0037,1.32
21st Sep 2025,76.275,6.57,51.3761,2.74
22nd Sep 2025,71.664,-6.05,48.7189,-5.17
23rd Sep 2025,73.487,2.54,50.5452,3.75
24th Sep 2025,75.32,2.49,55.8367,10.5
25th Sep 2025,77.001,2.23,57.8075,3.53
26th Sep 2025,77.596,0.77,54.6762,-5.42
27th Sep 2025,75.468,-2.74,55.4036,1.33
28th Sep 2025,76.056,0.78,57.6572,4.07
29th Sep 2025,80.362,5.66,67.0268,16.3
30th Sep 2025,70.577,-12.18,70.6885,5.46
1st Oct 2025,75.068,6.36,93.3004,32.0
2nd Oct 2025,78.757,4.91,134.92,44.6
3rd Oct 2025,71.847,-8.77,139.52,3.41
4th Oct 2025,75.156,4.61,141.9,1.71
5th Oct 2025,74.186,-1.29,158.11,11.4
6th Oct 2025,73.901,-0.38,162.25,2.62
